File,Algorithm,Original Size (B),Compressed Size (B),Compression Ratio,Computation Time (s)
meas_power.bin,LZ77,32,31,1.0323,0.001301
meas_power.bin,LZ78,32,42,0.7619,0.000669
meas_power.bin,LZW,32,52,0.6154,0.001018
meas_power.bin,LZMA,32,92,0.3478,0.006809
meas_power.bin,RLE,32,43,0.7442,0.000602
meas_power.bin,Arithmetic Encoding,32,513,0.0624,0.005904
meas_teros.bin,LZ77,39,36,1.0833,0.000735
meas_teros.bin,LZ78,39,58,0.6724,0.000322
meas_teros.bin,LZW,39,64,0.6094,0.000290
meas_teros.bin,LZMA,39,100,0.3900,0.005625
meas_teros.bin,RLE,39,59,0.6610,0.000400
meas_teros.bin,Arithmetic Encoding,39,625,0.0624,0.007356
power_data_150.bin,LZ77,119,134,0.8881,0.001371
power_data_150.bin,LZ78,119,160,0.7438,0.000400
power_data_150.bin,LZW,119,190,0.6263,0.000774
power_data_150.bin,LZMA,119,156,0.7628,0.006824
power_data_150.bin,RLE,119,225,0.5289,0.000576
power_data_150.bin,Arithmetic Encoding,119,1905,0.0625,0.010291
power_data_256.bin,LZ77,247,278,0.8885,0.001499
power_data_256.bin,LZ78,247,280,0.8821,0.000560
power_data_256.bin,LZW,247,348,0.7098,0.000689
power_data_256.bin,LZMA,247,232,1.0647,0.004858
power_data_256.bin,RLE,247,449,0.5501,0.000329
power_data_256.bin,Arithmetic Encoding,247,3953,0.0625,0.006348
power_data_32.bin,LZ77,23,26,0.8846,0.001440
power_data_32.bin,LZ78,23,40,0.5750,0.000747
power_data_32.bin,LZW,23,46,0.5000,0.000619
power_data_32.bin,LZMA,23,80,0.2875,0.007864
power_data_32.bin,RLE,23,45,0.5111,0.000663
power_data_32.bin,Arithmetic Encoding,23,369,0.0623,0.006723
