Message
"V: 0.0000, I: 0.000000, P: 0.00000000\n"
"V: 0.1257, I: 0.000057, P: 0.00000711\n"
"V: 0.2509, I: 0.000113, P: 0.00002833\n"
"V: 0.3751, I: 0.000169, P: 0.00006333\n"
"V: 0.4979, I: 0.000224, P: 0.00011154\n"
"V: 0.6186, I: 0.000278, P: 0.00017222\n"
"V: 0.7370, I: 0.000332, P: 0.00024439\n"
"V: 0.8524, I: 0.000384, P: 0.00032693\n"
"V: 0.9644, I: 0.000434, P: 0.00041852\n"
"V: 1.0726, I: 0.000483, P: 0.00051772\n"
"V: 1.1766, I: 0.000529, P: 0.00062296\n"
"V: 1.2759, I: 0.000574, P: 0.00073258\n"
"V: 1.3702, I: 0.000617, P: 0.00084484\n"
"V: 1.4591, I: 0.000657, P: 0.00095798\n"
"V: 1.5421, I: 0.000694, P: 0.00107020\n"
"V: 1.6191, I: 0.000729, P: 0.00117973\n"
"V: 1.6897, I: 0.000760, P: 0.00128484\n"
"V: 1.7536, I: 0.000789, P: 0.00138387\n"
"V: 1.8106, I: 0.000815, P: 0.00147525\n"
"V: 1.8604, I: 0.000837, P: 0.00155754\n"
"V: 1.9029, I: 0.000856, P: 0.00162944\n"
"V: 1.9378, I: 0.000872, P: 0.00168982\n"
"V: 1.9651, I: 0.000884, P: 0.00173771\n"
"V: 1.9846, I: 0.000893, P: 0.00177237\n"
"V: 1.9962, I: 0.000898, P: 0.00179324\n"
"V: 2.0000, I: 0.000900, P: 0.00180000\n"
"V: 1.9958, I: 0.000898, P: 0.00179253\n"
"V: 1.9838, I: 0.000893, P: 0.00177096\n"
"V: 1.9639, I: 0.000884, P: 0.00173563\n"
"V: 1.9363, I: 0.000871, P: 0.00168709\n"
"V: 1.9009, I: 0.000855, P: 0.00162611\n"
"V: 1.8581, I: 0.000836, P: 0.00155366\n"
"V: 1.8079, I: 0.000814, P: 0.00147089\n"
"V: 1.7506, I: 0.000788, P: 0.00137909\n"
"V: 1.6864, I: 0.000759, P: 0.00127972\n"
"V: 1.6154, I: 0.000727, P: 0.00117434\n"
"V: 1.5381, I: 0.000692, P: 0.00106464\n"
"V: 1.4547, I: 0.000655, P: 0.00095233\n"
"V: 1.3656, I: 0.000615, P: 0.00083920\n"
"V: 1.2711, I: 0.000572, P: 0.00072702\n"
"V: 1.1715, I: 0.000527, P: 0.00061758\n"
"V: 1.0673, I: 0.000480, P: 0.00051260\n"
"V: 0.9589, I: 0.000431, P: 0.00041375\n"
"V: 0.8467, I: 0.000381, P: 0.00032258\n"
"V: 0.7311, I: 0.000329, P: 0.00024053\n"
"V: 0.6126, I: 0.000276, P: 0.00016890\n"
"V: 0.4918, I: 0.000221, P: 0.00010883\n"
"V: 0.3690, I: 0.000166, P: 0.00006126\n"
"V: 0.2447, I: 0.000110, P: 0.00002694\n"
"V: 0.1194, I: 0.000054, P: 0.00000642\n"
"V: -0.0063, I: -0.000003, P: 0.00000002\n"
"V: -0.1320, I: -0.000059, P: 0.00000784\n"
"V: -0.2572, I: -0.000116, P: 0.00002976\n"
"V: -0.3813, I: -0.000172, P: 0.00006543\n"
"V: -0.5040, I: -0.000227, P: 0.00011429\n"
"V: -0.6246, I: -0.000281, P: 0.00017556\n"
"V: -0.7428, I: -0.000334, P: 0.00024828\n"
"V: -0.8580, I: -0.000386, P: 0.00033131\n"
"V: -0.9699, I: -0.000436, P: 0.00042331\n"
"V: -1.0779, I: -0.000485, P: 0.00052285\n"
"V: -1.1817, I: -0.000532, P: 0.00062835\n"
"V: -1.2808, I: -0.000576, P: 0.00073815\n"
"V: -1.3748, I: -0.000619, P: 0.00085050\n"
"V: -1.4634, I: -0.000659, P: 0.00096363\n"
"V: -1.5461, I: -0.000696, P: 0.00107575\n"
"V: -1.6228, I: -0.000730, P: 0.00118510\n"
"V: -1.6931, I: -0.000762, P: 0.00128995\n"
"V: -1.7567, I: -0.000790, P: 0.00138863\n"
"V: -1.8133, I: -0.000816, P: 0.00147959\n"
"V: -1.8627, I: -0.000838, P: 0.00156139\n"
"V: -1.9048, I: -0.000857, P: 0.00163275\n"
"V: -1.9394, I: -0.000873, P: 0.00169252\n"
"V: -1.9663, I: -0.000885, P: 0.00173977\n"
"V: -1.9854, I: -0.000893, P: 0.00177374\n"
"V: -1.9966, I: -0.000898, P: 0.00179391\n"
"V: -2.0000, I: -0.000900, P: 0.00179996\n"
"V: -1.9954, I: -0.000898, P: 0.00179178\n"
"V: -1.9830, I: -0.000892, P: 0.00176952\n"
"V: -1.9627, I: -0.000883, P: 0.00173351\n"
"V: -1.9347, I: -0.000871, P: 0.00168433\n"
"V: -1.8990, I: -0.000855, P: 0.00162276\n"
"V: -1.8558, I: -0.000835, P: 0.00154976\n"
"V: -1.8052, I: -0.000812, P: 0.00146650\n"
"V: -1.7476, I: -0.000786, P: 0.00137428\n"
"V: -1.6830, I: -0.000757, P: 0.00127458\n"
"V: -1.6117, I: -0.000725, P: 0.00116895\n"
"V: -1.5341, I: -0.000690, P: 0.00105907\n"
"V: -1.4504, I: -0.000653, P: 0.00094668\n"
"V: -1.3610, I: -0.000612, P: 0.00083355\n"
"V: -1.2662, I: -0.000570, P: 0.00072147\n"
"V: -1.1664, I: -0.000525, P: 0.00061221\n"
"V: -1.0620, I: -0.000478, P: 0.00050750\n"
