Raw ADC: 1075816678, Delta ADC: 0
Raw ADC: 1075817241, Delta ADC: 563
Raw ADC: 1075828092, Delta ADC: 10851
Raw ADC: 1075828796, Delta ADC: 704
Raw ADC: 1075832319, Delta ADC: 3523
Raw ADC: 1075830769, Delta ADC: 4294965745
Raw ADC: 1075838519, Delta ADC: 7750
Raw ADC: 1075843733, Delta ADC: 5214
Raw ADC: 1075842606, Delta ADC: 4294966168
Raw ADC: 1075846411, Delta ADC: 3805
Raw ADC: 1075853315, Delta ADC: 6904
Raw ADC: 1075853738, Delta ADC: 423
Raw ADC: 1075865293, Delta ADC: 11555
Raw ADC: 1075863884, Delta ADC: 4294965886
Raw ADC: 1075869943, Delta ADC: 6059
Raw ADC: 1075876989, Delta ADC: 7046
Raw ADC: 1075880794, Delta ADC: 3805
Raw ADC: 1075886994, Delta ADC: 6200
Raw ADC: 1075893335, Delta ADC: 6341
Raw ADC: 1075903904, Delta ADC: 10569
Raw ADC: 1075913345, Delta ADC: 9441
Raw ADC: 1075916586, Delta ADC: 3241
Raw ADC: 1075927577, Delta ADC: 10991
Raw ADC: 1075933073, Delta ADC: 5496
Raw ADC: 1075943078, Delta ADC: 10005
Raw ADC: 1075947164, Delta ADC: 4086
Raw ADC: 1075960551, Delta ADC: 13387
Raw ADC: 1075968865, Delta ADC: 8314
Raw ADC: 1075979575, Delta ADC: 10710
Raw ADC: 1075990143, Delta ADC: 10568
Raw ADC: 1075992539, Delta ADC: 2396
Raw ADC: 1076003812, Delta ADC: 11273
Raw ADC: 1076016212, Delta ADC: 12400
Raw ADC: 1076013676, Delta ADC: 4294964759
Raw ADC: 1076033686, Delta ADC: 20010
Raw ADC: 1076044113, Delta ADC: 10427
Raw ADC: 1076052709, Delta ADC: 8596
Raw ADC: 1076067646, Delta ADC: 14937
Raw ADC: 1076068773, Delta ADC: 1127
Raw ADC: 1076082724, Delta ADC: 13951
Raw ADC: 1076094420, Delta ADC: 11696
Raw ADC: 1076103297, Delta ADC: 8877
Raw ADC: 1076114289, Delta ADC: 10992
Raw ADC: 1076124575, Delta ADC: 10286
Raw ADC: 1076142472, Delta ADC: 17897
Raw ADC: 1076150785, Delta ADC: 8313
Raw ADC: 1076162200, Delta ADC: 11415
