Raw ADC: 1073741823, Delta ADC: 0
Raw ADC: 1076835183, Delta ADC: 3093360
Raw ADC: 1079898066, Delta ADC: 3062883
Raw ADC: 1082931066, Delta ADC: 3033000
Raw ADC: 1085934762, Delta ADC: 3003696
Raw ADC: 1088909714, Delta ADC: 2974952
Raw ADC: 1091856467, Delta ADC: 2946753
Raw ADC: 1094775550, Delta ADC: 2919083
Raw ADC: 1097667479, Delta ADC: 2891929
Raw ADC: 1100532754, Delta ADC: 2865275
Raw ADC: 1103371861, Delta ADC: 2839107
Raw ADC: 1106185275, Delta ADC: 2813414
Raw ADC: 1108973456, Delta ADC: 2788181
Raw ADC: 1111736853, Delta ADC: 2763397
Raw ADC: 1114475902, Delta ADC: 2739049
Raw ADC: 1117191030, Delta ADC: 2715128
Raw ADC: 1119882649, Delta ADC: 2691619
Raw ADC: 1122551164, Delta ADC: 2668515
Raw ADC: 1125196968, Delta ADC: 2645804
Raw ADC: 1127820444, Delta ADC: 2623476
Raw ADC: 1130421967, Delta ADC: 2601523
Raw ADC: 1133001899, Delta ADC: 2579932
Raw ADC: 1135560598, Delta ADC: 2558699
Raw ADC: 1138098409, Delta ADC: 2537811
Raw ADC: 1140615670, Delta ADC: 2517261
Raw ADC: 1143112712, Delta ADC: 2497042
Raw ADC: 1145589858, Delta ADC: 2477146
Raw ADC: 1148047421, Delta ADC: 2457563
Raw ADC: 1150485709, Delta ADC: 2438288
Raw ADC: 1152905021, Delta ADC: 2419312
Raw ADC: 1155305652, Delta ADC: 2400631
Raw ADC: 1157687886, Delta ADC: 2382234
Raw ADC: 1160052005, Delta ADC: 2364119
Raw ADC: 1162398281, Delta ADC: 2346276
Raw ADC: 1164726982, Delta ADC: 2328701
Raw ADC: 1167038368, Delta ADC: 2311386
Raw ADC: 1169332697, Delta ADC: 2294329
Raw ADC: 1171610217, Delta ADC: 2277520
Raw ADC: 1173871173, Delta ADC: 2260956
Raw ADC: 1176115805, Delta ADC: 2244632
Raw ADC: 1178344345, Delta ADC: 2228540
Raw ADC: 1180557024, Delta ADC: 2212679
Raw ADC: 1182754066, Delta ADC: 2197042
Raw ADC: 1184935690, Delta ADC: 2181624
Raw ADC: 1187102110, Delta ADC: 2166420
Raw ADC: 1189253538, Delta ADC: 2151428
Raw ADC: 1191390180, Delta ADC: 2136642
Raw ADC: 1193512236, Delta ADC: 2122056
Raw ADC: 1195619906, Delta ADC: 2107670
Raw ADC: 1197713383, Delta ADC: 2093477
Raw ADC: 1199792856, Delta ADC: 2079473
Raw ADC: 1201858512, Delta ADC: 2065656
Raw ADC: 1203910533, Delta ADC: 2052021
Raw ADC: 1205949099, Delta ADC: 2038566
Raw ADC: 1207974383, Delta ADC: 2025284
Raw ADC: 1209986559, Delta ADC: 2012176
Raw ADC: 1211985795, Delta ADC: 1999236
Raw ADC: 1213972256, Delta ADC: 1986461
Raw ADC: 1215946105, Delta ADC: 1973849
Raw ADC: 1217907500, Delta ADC: 1961395
Raw ADC: 1219856598, Delta ADC: 1949098
Raw ADC: 1221793552, Delta ADC: 1936954
Raw ADC: 1223718512, Delta ADC: 1924960
Raw ADC: 1225631627, Delta ADC: 1913115
Raw ADC: 1227533040, Delta ADC: 1901413
Raw ADC: 1229422894, Delta ADC: 1889854
Raw ADC: 1231301330, Delta ADC: 1878436
Raw ADC: 1233168483, Delta ADC: 1867153
Raw ADC: 1235024489, Delta ADC: 1856006
Raw ADC: 1236869480, Delta ADC: 1844991
Raw ADC: 1238703586, Delta ADC: 1834106
Raw ADC: 1240526935, Delta ADC: 1823349
Raw ADC: 1242339652, Delta ADC: 1812717
Raw ADC: 1244141861, Delta ADC: 1802209
Raw ADC: 1245933682, Delta ADC: 1791821
Raw ADC: 1247715235, Delta ADC: 1781553
Raw ADC: 1249486636, Delta ADC: 1771401
Raw ADC: 1251248001, Delta ADC: 1761365
Raw ADC: 1252999443, Delta ADC: 1751442
Raw ADC: 1254741073, Delta ADC: 1741630
Raw ADC: 1256473000, Delta ADC: 1731927
Raw ADC: 1258195332, Delta ADC: 1722332
Raw ADC: 1259908174, Delta ADC: 1712842
Raw ADC: 1261611631, Delta ADC: 1703457
Raw ADC: 1263305804, Delta ADC: 1694173
Raw ADC: 1264990796, Delta ADC: 1684992
Raw ADC: 1266666703, Delta ADC: 1675907
Raw ADC: 1268333625, Delta ADC: 1666922
Raw ADC: 1269991656, Delta ADC: 1658031
Raw ADC: 1271640891, Delta ADC: 1649235
Raw ADC: 1273281423, Delta ADC: 1640532
Raw ADC: 1274913343, Delta ADC: 1631920
Raw ADC: 1276536742, Delta ADC: 1623399
Raw ADC: 1278151707, Delta ADC: 1614965
Raw ADC: 1279758326, Delta ADC: 1606619
Raw ADC: 1281356685, Delta ADC: 1598359
Raw ADC: 1282946868, Delta ADC: 1590183
Raw ADC: 1284528958, Delta ADC: 1582090
Raw ADC: 1286103038, Delta ADC: 1574080
Raw ADC: 1287669188, Delta ADC: 1566150
Raw ADC: 1289227487, Delta ADC: 1558299
Raw ADC: 1290778015, Delta ADC: 1550528
Raw ADC: 1292320847, Delta ADC: 1542832
Raw ADC: 1293856061, Delta ADC: 1535214
Raw ADC: 1295383730, Delta ADC: 1527669
Raw ADC: 1296903929, Delta ADC: 1520199
Raw ADC: 1298416731, Delta ADC: 1512802
Raw ADC: 1299922206, Delta ADC: 1505475
Raw ADC: 1301420427, Delta ADC: 1498221
Raw ADC: 1302911461, Delta ADC: 1491034
Raw ADC: 1304395378, Delta ADC: 1483917
Raw ADC: 1305872246, Delta ADC: 1476868
Raw ADC: 1307342131, Delta ADC: 1469885
Raw ADC: 1308805099, Delta ADC: 1462968
Raw ADC: 1310261215, Delta ADC: 1456116
Raw ADC: 1311710542, Delta ADC: 1449327
Raw ADC: 1313153143, Delta ADC: 1442601
Raw ADC: 1314589082, Delta ADC: 1435939
Raw ADC: 1316018418, Delta ADC: 1429336
Raw ADC: 1317441213, Delta ADC: 1422795
Raw ADC: 1318857525, Delta ADC: 1416312
