Time (s), Voltage (V)
0.000000, 1073741823
0.010000, 1118689028
0.020000, 1163458846
0.030000, 1207874593
0.040000, 1251760978
0.050000, 1294944804
0.060000, 1337255642
0.070000, 1378526512
0.080000, 1418594535
0.090000, 1457301583
0.100000, 1494494895
0.110000, 1530027688
0.120000, 1563759728
0.130000, 1595557892
0.140000, 1625296686
0.150000, 1652858745
0.160000, 1678135294
0.170000, 1701026578
0.180000, 1721442256
0.190000, 1739301756
0.200000, 1754534595
0.210000, 1767080656
0.220000, 1776890426
0.230000, 1783925189
0.240000, 1788157183
0.250000, 1789569705
0.260000, 1788157183
0.270000, 1783925189
0.280000, 1776890426
0.290000, 1767080656
0.300000, 1754534595
0.310000, 1739301756
0.320000, 1721442256
0.330000, 1701026578
0.340000, 1678135294
0.350000, 1652858745
0.360000, 1625296686
0.370000, 1595557892
0.380000, 1563759728
0.390000, 1530027688
0.400000, 1494494895
0.410000, 1457301583
0.420000, 1418594535
0.430000, 1378526512
0.440000, 1337255642
0.450000, 1294944804
0.460000, 1251760978
0.470000, 1207874593
0.480000, 1163458846
0.490000, 1118689028
0.500000, 1073741823
0.510000, 1028794618
0.520000, 984024800
0.530000, 939609053
0.540000, 895722668
0.550000, 852538842
0.560000, 810228004
0.570000, 768957134
0.580000, 728889111
0.590000, 690182063
0.600000, 652988751
0.610000, 617455958
0.620000, 583723918
0.630000, 551925754
0.640000, 522186960
0.650000, 494624901
0.660000, 469348352
0.670000, 446457068
0.680000, 426041390
0.690000, 408181890
0.700000, 392949051
0.710000, 380402990
0.720000, 370593220
0.730000, 363558457
0.740000, 359326463
0.750000, 357913941
0.760000, 359326463
0.770000, 363558457
0.780000, 370593220
0.790000, 380402990
0.800000, 392949051
0.810000, 408181890
0.820000, 426041390
0.830000, 446457068
0.840000, 469348352
0.850000, 494624901
0.860000, 522186960
0.870000, 551925754
0.880000, 583723918
0.890000, 617455958
0.900000, 652988751
0.910000, 690182063
0.920000, 728889111
0.930000, 768957134
0.940000, 810228004
0.950000, 852538842
0.960000, 895722668
0.970000, 939609053
0.980000, 984024800
0.990000, 1028794618
